"Date","Arabica","Robusta"
"1960-01-01",94.09,69.69
"1960-02-01",94.69,68.87
"1960-03-01",92.81,68.87
"1960-04-01",93.03,68.45
"1960-05-01",92,69.07
"1960-06-01",91.23,69.69
"1960-07-01",91.6,69.07
"1960-08-01",92.92,69.88
"1960-09-01",92.26,70.28
"1960-10-01",92.37,70.68
"1960-11-01",91.16,70.9
"1960-12-01",90.06,69.69
"1961-01-01",91.45,67.66
"1961-02-01",91.67,67.66
"1961-03-01",91.05,66.84
"1961-04-01",90.17,66.45
"1961-05-01",89.29,66.23
"1961-06-01",88.91,66.64
"1961-07-01",89.29,66.84
"1961-08-01",89.35,66.84
"1961-09-01",88.91,67.24
"1961-10-01",88.52,67.24
"1961-11-01",88.3,67.04
"1961-12-01",87.74,66.64
"1962-01-01",87.74,66.84
"1962-02-01",87.7,66.84
"1962-03-01",86.09,67.04
"1962-04-01",84.66,67.44
"1962-05-01",82.56,67.24
"1962-06-01",80.47,67.24
"1962-07-01",81.31,67.66
"1962-08-01",81.9,68.45
"1962-09-01",82.56,69.47
"1962-10-01",81.09,69.47
"1962-11-01",81.24,69.27
"1962-12-01",81.79,71.69
"1963-01-01",82.67,65.21
"1963-02-01",80.31,61.38
"1963-03-01",81.09,61.57
"1963-04-01",80.8,61.57
"1963-05-01",79.7,61.18
"1963-06-01",79.92,61.18
"1963-07-01",80.64,61.57
"1963-08-01",80.47,61.18
"1963-09-01",80.2,62.39
"1963-10-01",80.42,62.59
"1963-11-01",80.69,63.18
"1963-12-01",79.98,65.21
"1964-01-01",92.59,70.08
"1964-02-01",94.14,72.11
"1964-03-01",103.51,77.98
"1964-04-01",100.42,81.61
"1964-05-01",102.03,82.85
"1964-06-01",100.53,84.66
"1964-07-01",102.14,81.83
"1964-08-01",104.9,81.83
"1964-09-01",103.73,78.99
"1964-10-01",103.79,77.38
"1964-11-01",103.4,78.79
"1964-12-01",100.53,76.37
"1965-01-01",101.19,62.83
"1965-02-01",103.84,63.71
"1965-03-01",98.99,57.98
"1965-04-01",97.44,54.7
"1965-05-01",96.12,48.72
"1965-06-01",98.11,61.31
"1965-07-01",98.11,71.63
"1965-08-01",100.09,79.5
"1965-09-01",99.87,77.76
"1965-10-01",100.97,80.73
"1965-11-01",102.51,75.68
"1965-12-01",103.18,79.36
"1966-01-01",101.19,80.16
"1966-02-01",97.22,75.77
"1966-03-01",95.46,74.38
"1966-04-01",95.46,76.06
"1966-05-01",94.58,76.52
"1966-06-01",92.37,74.1
"1966-07-01",91.71,72.91
"1966-08-01",91.71,71.89
"1966-09-01",89.95,69.95
"1966-10-01",88.85,71.71
"1966-11-01",88.69,72
"1966-12-01",87.28,71.52
"1967-01-01",85.01,70.57
"1967-02-01",84.41,72.86
"1967-03-01",82.28,72.57
"1967-04-01",85.08,74.71
"1967-05-01",88.91,77.03
"1967-06-01",90.92,78.24
"1967-07-01",90.26,74.07
"1967-08-01",87.61,71.76
"1967-09-01",86.07,72.4
"1967-10-01",84.72,72.95
"1967-11-01",86.66,74.78
"1967-12-01",85.12,75
"1968-01-01",86.6,75.97
"1968-02-01",86.91,75.66
"1968-03-01",88.21,75.48
"1968-04-01",88.6,75.33
"1968-05-01",88.16,75.51
"1968-06-01",88.8,75.66
"1968-07-01",88.14,74.98
"1968-08-01",86.62,74.76
"1968-09-01",85.38,74.93
"1968-10-01",85.45,74.01
"1968-11-01",84.86,72.33
"1968-12-01",82.67,70.94
"1969-01-01",82.61,70.66
"1969-02-01",84.19,70.81
"1969-03-01",82.94,68.72
"1969-04-01",81.35,65.89
